index,lat,lon,value,dataDate,dataTime,validityDate,validityTime,name,shortname,units
104473,52.447430,-7.337415,278.746582,20160401,0,20160401,100,Temperature,t,K
104474,52.451298,-7.301061,278.894531,20160401,0,20160401,100,Temperature,t,K
104475,52.455155,-7.264700,279.159668,20160401,0,20160401,100,Temperature,t,K
105001,52.465704,-7.380140,279.094238,20160401,0,20160401,100,Temperature,t,K
105002,52.469586,-7.343774,279.142090,20160401,0,20160401,100,Temperature,t,K
105003,52.473456,-7.307402,279.381104,20160401,0,20160401,100,Temperature,t,K
105004,52.477315,-7.271023,279.533203,20160401,0,20160401,100,Temperature,t,K
105531,52.491741,-7.350140,279.402832,20160401,0,20160401,100,Temperature,t,K
105532,52.495613,-7.313749,279.550781,20160401,0,20160401,100,Temperature,t,K
105533,52.499474,-7.277352,279.606934,20160401,0,20160401,100,Temperature,t,K
106062,52.521633,-7.283688,279.563477,20160401,0,20160401,100,Temperature,t,K
104473,52.447430,-7.337415,279.005859,20160401,0,20160401,200,Temperature,t,K
104474,52.451298,-7.301061,279.157959,20160401,0,20160401,200,Temperature,t,K
104475,52.455155,-7.264700,279.388184,20160401,0,20160401,200,Temperature,t,K
105001,52.465704,-7.380140,279.423096,20160401,0,20160401,200,Temperature,t,K
105002,52.469586,-7.343774,279.440430,20160401,0,20160401,200,Temperature,t,K
105003,52.473456,-7.307402,279.657471,20160401,0,20160401,200,Temperature,t,K
105004,52.477315,-7.271023,279.766357,20160401,0,20160401,200,Temperature,t,K
105531,52.491741,-7.350140,279.761963,20160401,0,20160401,200,Temperature,t,K
105532,52.495613,-7.313749,279.874756,20160401,0,20160401,200,Temperature,t,K
105533,52.499474,-7.277352,279.870361,20160401,0,20160401,200,Temperature,t,K
106062,52.521633,-7.283688,279.861572,20160401,0,20160401,200,Temperature,t,K
104473,52.447430,-7.337415,279.196533,20160401,0,20160401,300,Temperature,t,K
104474,52.451298,-7.301061,279.353027,20160401,0,20160401,300,Temperature,t,K
104475,52.455155,-7.264700,279.587646,20160401,0,20160401,300,Temperature,t,K
105001,52.465704,-7.380140,279.604980,20160401,0,20160401,300,Temperature,t,K
105002,52.469586,-7.343774,279.631104,20160401,0,20160401,300,Temperature,t,K
105003,52.473456,-7.307402,279.852539,20160401,0,20160401,300,Temperature,t,K
105004,52.477315,-7.271023,279.991455,20160401,0,20160401,300,Temperature,t,K
105531,52.491741,-7.350140,279.978760,20160401,0,20160401,300,Temperature,t,K
105532,52.495613,-7.313749,280.117676,20160401,0,20160401,300,Temperature,t,K
105533,52.499474,-7.277352,280.130615,20160401,0,20160401,300,Temperature,t,K
106062,52.521633,-7.283688,280.126221,20160401,0,20160401,300,Temperature,t,K
104473,52.447430,-7.337415,279.127441,20160401,300,20160401,400,Temperature,t,K
104474,52.451298,-7.301061,279.270752,20160401,300,20160401,400,Temperature,t,K
104475,52.455155,-7.264700,279.448730,20160401,300,20160401,400,Temperature,t,K
105001,52.465704,-7.380140,279.396484,20160401,300,20160401,400,Temperature,t,K
105002,52.469586,-7.343774,279.457275,20160401,300,20160401,400,Temperature,t,K
105003,52.473456,-7.307402,279.583496,20160401,300,20160401,400,Temperature,t,K
105004,52.477315,-7.271023,279.735596,20160401,300,20160401,400,Temperature,t,K
105531,52.491741,-7.350140,279.722412,20160401,300,20160401,400,Temperature,t,K
105532,52.495613,-7.313749,279.831055,20160401,300,20160401,400,Temperature,t,K
105533,52.499474,-7.277352,279.865723,20160401,300,20160401,400,Temperature,t,K
106062,52.521633,-7.283688,279.852783,20160401,300,20160401,400,Temperature,t,K
104473,52.447430,-7.337415,279.093018,20160401,300,20160401,500,Temperature,t,K
104474,52.451298,-7.301061,279.245117,20160401,300,20160401,500,Temperature,t,K
104475,52.455155,-7.264700,279.397217,20160401,300,20160401,500,Temperature,t,K
105001,52.465704,-7.380140,279.292725,20160401,300,20160401,500,Temperature,t,K
105002,52.469586,-7.343774,279.392822,20160401,300,20160401,500,Temperature,t,K
105003,52.473456,-7.307402,279.536133,20160401,300,20160401,500,Temperature,t,K
105004,52.477315,-7.271023,279.688232,20160401,300,20160401,500,Temperature,t,K
105531,52.491741,-7.350140,279.644531,20160401,300,20160401,500,Temperature,t,K
105532,52.495613,-7.313749,279.801270,20160401,300,20160401,500,Temperature,t,K
105533,52.499474,-7.277352,279.844482,20160401,300,20160401,500,Temperature,t,K
106062,52.521633,-7.283688,279.835938,20160401,300,20160401,500,Temperature,t,K
104473,52.447430,-7.337415,279.158936,20160401,300,20160401,600,Temperature,t,K
104474,52.451298,-7.301061,279.298096,20160401,300,20160401,600,Temperature,t,K
104475,52.455155,-7.264700,279.424072,20160401,300,20160401,600,Temperature,t,K
105001,52.465704,-7.380140,279.341553,20160401,300,20160401,600,Temperature,t,K
105002,52.469586,-7.343774,279.445801,20160401,300,20160401,600,Temperature,t,K
105003,52.473456,-7.307402,279.563232,20160401,300,20160401,600,Temperature,t,K
105004,52.477315,-7.271023,279.689209,20160401,300,20160401,600,Temperature,t,K
105531,52.491741,-7.350140,279.706543,20160401,300,20160401,600,Temperature,t,K
105532,52.495613,-7.313749,279.841064,20160401,300,20160401,600,Temperature,t,K
105533,52.499474,-7.277352,279.875732,20160401,300,20160401,600,Temperature,t,K
106062,52.521633,-7.283688,279.901855,20160401,300,20160401,600,Temperature,t,K
104473,52.447430,-7.337415,279.433350,20160401,600,20160401,700,Temperature,t,K
104474,52.451298,-7.301061,279.572266,20160401,600,20160401,700,Temperature,t,K
104475,52.455155,-7.264700,279.702637,20160401,600,20160401,700,Temperature,t,K
105001,52.465704,-7.380140,279.637451,20160401,600,20160401,700,Temperature,t,K
105002,52.469586,-7.343774,279.741699,20160401,600,20160401,700,Temperature,t,K
105003,52.473456,-7.307402,279.863281,20160401,600,20160401,700,Temperature,t,K
105004,52.477315,-7.271023,279.985107,20160401,600,20160401,700,Temperature,t,K
105531,52.491741,-7.350140,280.028320,20160401,600,20160401,700,Temperature,t,K
105532,52.495613,-7.313749,280.163086,20160401,600,20160401,700,Temperature,t,K
105533,52.499474,-7.277352,280.189209,20160401,600,20160401,700,Temperature,t,K
106062,52.521633,-7.283688,280.232422,20160401,600,20160401,700,Temperature,t,K
104473,52.447430,-7.337415,279.587158,20160401,600,20160401,800,Temperature,t,K
104474,52.451298,-7.301061,279.739258,20160401,600,20160401,800,Temperature,t,K
104475,52.455155,-7.264700,279.878174,20160401,600,20160401,800,Temperature,t,K
105001,52.465704,-7.380140,279.795654,20160401,600,20160401,800,Temperature,t,K
105002,52.469586,-7.343774,279.904297,20160401,600,20160401,800,Temperature,t,K
105003,52.473456,-7.307402,280.038818,20160401,600,20160401,800,Temperature,t,K
105004,52.477315,-7.271023,280.182129,20160401,600,20160401,800,Temperature,t,K
105531,52.491741,-7.350140,280.208252,20160401,600,20160401,800,Temperature,t,K
105532,52.495613,-7.313749,280.347168,20160401,600,20160401,800,Temperature,t,K
